word	approx_count
SOMALIDA	15582
UJEEDADA	15581
GALABTA	15578
UGAAS	15575
MARWO	15556
SIYAASAD	15552
NIDAAM	15551
ASKAR	15525
KHAYRE	15525
XEEBTA	15507
KHUDBAD	15484
GALI	15468
WAXAANAN	15467
WASIIRKU	15445
HOTEL	15421
CADAALAD	15361
BANI	15341
JUBBA	15326
QADAR	15326
RASHIID	15307
TAALA	15297
AAS	15295
NALA	15274
WAXAASE	15247
AANNU	15197
INUUSAN	15190
XOOJINTA	15159
RAACIYAY	15144
XARUN	15126
RABTO	15124
AKHRISO	15119
DOOLAR	15118
RAALI	15118
POST	15118
XIGTAY	15114
ILMAHA	15067
BOGGA	15051
KAAGA	15018
XILLIGII	15011
LIKE	15005
SCW	14990
XOOLO	14986
GASHO	14978
ISUL	14977
SALDHIGA	14909
BARTAY	14904
SHIRKAD	14902
LAHEYD	14894
DALBADAY	14883
GOOBO	14881
ALI	14873
NIYAD	14841
SUDAN	14832
KALSOONI	14831
ISKAGA	14828
DOON	14824
AANKII	14823
YEESHAAN	14814
AYAANU	14814
SIIYAAN	14813
SHIRE	14794
SALAAD	14768
INTOODA	14767
WAANU	14758
YOU	14743
SAXDA	14738
DAQIIQO	14726
LAAMAHA	14711
DIGAY	14690
BAKOOL	14686
QUR	14658
DAY	14625
UMADA	14615
QAYBO	14611
SADDEXDA	14610
WEY	14592
OGEYN	14590
MURAN	14581
NABADA	14570
ABWAAN	14560
CAJIIB	14541
SUUDAAN	14534
PREMIER	14533
GUURKA	14510
AMRAY	14500
WAJAHAN	14493
DANAHA	14492
ARIN	14475
CIRAAQ	14470
RONALDO	14461
FOR	14461
WWW	14460
XUKUN	14455
MIDOOBEY	14425
INAANU	14411
DUSHA	14396
QARAXII	14394
MARAR	14389
JIRI	14372
WEEYE	14364
BOG	14354
FAAHIN	14346
SHARAFTA	14340
GALKA	14331
DAACISH	14324
GUDDIDA	14311
LACAGAHA	14309
YEESHO	14237
JIRTAA	14216
DALKAN	14206
ALLAAH	14188
HAMBALYO	14171
WAXAYNU	14160
SACIID	14158
XADKA	14153
WATAY	14151
ILAALIYO	14141
QODOBADA	14121
SIDAAN	14108
MAIL	14106
CIYAAR	14091
SHAQSI	14086
AMMAAN	14080
GEELLE	14071
SHACBIGA	14059
MARTAY	14051
IIGU	14039
WARQAD	14035
OGAADO	14028
CELINTA	14023
MUSUQ	14006
NINKAN	14005
JOOJIN	13983
GAADHI	13961
DOONAYAA	13959
FARAXSAN	13947
